index|id|category|city|area|market_name|market_address|shop|pay_list|zone|user|pay_tool
119|50008751|['餐飲']|新竹市|東區|['飲料零售', '飲酒店', '餐館、餐廳']|新竹市東　區中正里府後街１９巷６號|沐毅餐飲|['台灣 PAY']|桃竹苗|林光良|['行動支付']
120|50008752|['餐飲']|新竹市|東區|['冰果店、冷（熱）飲店']|新竹市東　區復中里民生路１１１號一樓|大旺茶飲|['LINE PAY']|桃竹苗|陳柯安|['行動支付']
121|50008753|['餐飲']|新竹市|東區|['麵店、小吃店']|新竹市東　區振興里南大路５７２號１樓|壕門麻辣燙滷味|['LINE PAY']|桃竹苗|范志壕|['行動支付']
122|50008758|['餐飲']|新竹市|東區|['咖啡零售', '咖啡館']|新竹市東　區龍山里慈雲路５１號１樓|醇馥咖啡商行|['LINE PAY']|桃竹苗|王子彤|['行動支付']
123|50009393|['餐飲']|新竹市|東區|['冰果店、冷（熱）飲店']|新竹市東　區金山里金山七街１６號１樓|弘邑企業社|['LINE PAY']|桃竹苗|羅威弘|['行動支付']
124|50009427|['夜市小吃/市場', '餐飲']|新竹市|香山區|['咖啡館', '玩具（模型玩具除外）零售', '其他玩具及娛樂用品零售']|新竹市香山區虎山里延平路二段７８５號一樓|黑倫王商行|['LINE PAY']|桃竹苗|林金諭|['行動支付']
125|50009431|['餐飲']|新竹市|東區|['冰果店、冷（熱）飲店']|新竹市東　區榮光里中正路１號一樓|凱諺商行|['台灣 PAY', 'LINE PAY', '街口支付']|桃竹苗|林俊良|['行動支付']
126|50009433|['餐飲']|新竹市|東區|['冰果店、冷（熱）飲店']|新竹市東　區關東里光復路一段１９６號１樓|期竣商行|['台灣 PAY', 'LINE PAY', '街口支付']|桃竹苗|吳喬竣|['行動支付']
127|50009434|['餐飲']|新竹市|東區|['冰果店、冷（熱）飲店']|新竹市東　區復中里民權路１５０號|銳品商行|['街口支付', 'LINE PAY']|桃竹苗|張廷瑞|['行動支付']
128|50009436|['餐飲']|新竹市|東區|['咖啡館']|新竹市東　區高峰里高翠路３０７號１樓|浧廷行|['街口支付', 'LINE PAY']|桃竹苗|黃玉卉|['行動支付']
